Method,mean_dataset_mean,rank
UniTVelo (ind),0.626050836262029,1
SvelvetVAE,0.5986314383439364,2
veloVI,0.5978419960937489,3
LatentVelo (std),0.5961981784993363,4
Velocyto,0.5849097784321454,5
UniTVelo (uni),0.5847816814818784,6
scVelo (stc),0.5798642351077972,7
cellDancer,0.5756457043179459,8
TIVelo (std),0.5746984892378618,9
TIVelo (simple),0.558938103646783,10
VeloAE,0.5529230382229774,11
Pyro-Velocity (m2),0.5457093972716667,12
scTour (MSE),0.5448601900735894,13
GraphVelo (std),0.539373005752831,14
DeepVelo,0.525916275312247,15
scTour (NB),0.5221282661518188,16
Pyro-Velocity (m1),0.5194150054661063,17
scTour (ZINB),0.5188568133581781,18
scVelo (dyn),0.5138222160087784,19
SDEvelo,0.5132498910066666,20
Dynamo (m1),0.5131752903488555,21
  -velo,0.5000916217086868,22
VeloVAE (Full VB),0.49629667007894795,23
cell2fate,0.4868183652474715,24
VeloVAE (std),0.47823575328505186,25
